ID,Latitude,Longitude,Station Name
HVS,34.31700,-114.15600,LAKE HAVASU
HWE,36.13700,-117.94800,HAIWEE
ICH,38.82400,-120.35900,ICE HOUSE (SMUD)
INL,39.45000,-120.28300,INDEPENDENCE LAKE
INP,39.45200,-120.29000,INDEPENDENCE LAKE NEAR TRUCKEE
INV,39.08300,-122.53300,INDIAN VALLEY
IRC,41.04500,-121.98100,IRON CANYON
IRG,41.93400,-122.43600,IRON GATE RESERVOIR
ISB,35.64600,-118.47300,ISABELLA DAM
JCK,39.50900,-120.55200,JACKSON MEADOWS (NEVADA CO WD)
JNC,38.85300,-120.45300,JUNCTION
JNK,38.71300,-120.56000,JENKINSON LAKE
JNN,32.85400,-116.89200,LAKE JENNINGS
KES,40.60100,-122.44300,KESWICK RESERVOIR
KLM,42.25000,-121.81500,UPPER KLAMATH
KNT,37.99700,-122.70200,KENT
KRH,37.12800,-119.52400,KERCKHOFF DAM
LBS,36.99400,-120.93000,LOS BANOS DAM
LEW,40.72700,-122.79300,LEWISTON
LFY,37.88500,-122.13800,LAFAYETTE
LGT,37.94700,-122.59700,LAGUNITAS LAKE
LGV,39.72400,-121.01900,LITTLE GRASS VALLEY
LNG,37.20200,-121.98800,LEXINGTON RESERVOIR
LON,38.98300,-120.32300,LOON LAKE (SMUD)
LOT,32.60900,-116.92700,LOWER OTAY
LPY,39.40830,-122.95830,LAKE PILLSBURY NR POTTER VLY 24HR AVG
LRA,37.16500,-121.63200,LEROY ANDERSON
LSB,37.05000,-120.86700,LOS BANOS
LUS,37.00100,-121.00200,SAN LUIS RESERVOIR (STATE)
LVD,32.77900,-116.79200,LOVELAND RESERVOIR
LVQ,37.83800,-121.72600,LOS VAQUEROS RESERVOIR
LVY,39.30000,-120.58300,LAKE VALLEY RESERVOIR
LWB,38.53800,-120.25700,LOWER BEAR
LYS,38.09400,-120.16600,LYONS RESERVOIR
MAR,37.29200,-120.14700,MARIPOSA CREEK DAM
MAT,34.48600,-119.30700,MATILIJA DAM
MCO,41.13500,-122.07400,LAKE MCCLOUD
MCR,37.58400,-120.26700,LAKE MCCLURE
MCS,37.52000,-120.30900,LAKE MC SWAIN
MDO,37.65700,-120.67500,MODESTO RESERVOIR
MEA,36.01600,-114.73600,LAKE MEAD
MFF,37.52300,-120.32900,MERCED FALLS FOREBAY
MHV,35.19700,-114.56700,LAKE MOHAVE
MHW,33.83300,-117.46000,LAKE MATHEWS
MIL,37.00100,-119.70500,FRIANT DAM (MILLERTON)
MMR,32.90000,-117.10000,MIRAMAR
MMW,40.28300,-121.01700,MOUNTAIN MEADOWS
MNC,39.19900,-123.18200,LAKE MENDOCINO
MOR,32.68300,-116.55000,MORENA DAM
MPD,41.45181,-122.44765,MWCD PARKS CK DIVERSION NR EDGEWOOD
MPL,37.32900,-119.32800,MAMMOTH POOL
MRR,32.78200,-117.04700,MURRAY RES
MRT,39.32700,-120.11300,MARTIS CREEK RESERVOIR
NAT,38.65000,-121.18300,LAKE NATOMA  (NIMBUS DAM)
NCA,38.07500,-122.75700,NICASIO
NCM,35.75800,-120.88400,NACIMIENTO
NHG,38.15200,-120.81200,NEW HOGAN LAKE
NML,37.94810,-120.52500,NEW MELONES RESERVOIR
ONF,37.06700,-121.06700,ONEILL FOREBAY
ORO,39.54000,-121.49300,OROVILLE DAM
OWN,37.28200,-120.18700,OWENS CREEK DAM
PAR,38.25000,-120.85000,PARDEE
PLL,39.40800,-122.95800,LAKE PILLSBURY
PNF,36.83300,-119.32500,PINE FLAT DAM
PRA,33.89000,-117.64300,PRADO DAM
PRR,33.85800,-117.18300,PERRIS
PRS,39.37940,-120.13670,PROSSER CREEK RESERVOIR
PRU,34.46100,-118.75100,LAKE PIRU
PT6,40.84200,-122.00100,PIT R PH #6
PT7,40.84300,-122.01500,PIT R PH #7
PWL,36.93700,-111.49300,LAKE POWELL
PYM,34.63300,-118.75000,PYRAMID
QUL,99.99900,-999.99900,QUAIL
RBL,38.96700,-120.21700,RUBICON LAKE
RDN,37.14500,-119.44900,REDINGER LAKE
RLC,33.67500,-117.27200,RAILROAD CANYON
RLF,38.26700,-119.73300,RELIEF
RLL,39.13500,-120.94800,ROLLINS
RTD,40.36700,-123.43300,RUTH  DAM
SAT,37.57300,-121.84800,SAN ANTONIO RESERVOIR
SCC,36.06100,-118.92200,SUCCESS DAM
SCD,39.40830,-122.95860,SCOTT DAM
SDB,37.96600,-119.27200,SADDLEBAG LAKE RESERVOIR
SFL,39.27400,-120.91700,SCOTTS FLAT
SGB,34.20700,-117.85800,SAN GABRIEL
SGC,33.78500,-117.72300,SANTIAGO CREEK RES (IRVINE LAKE)
SHA,40.71800,-122.42000,SHASTA DAM  (USBR)
SHV,37.14500,-119.30200,SHAVER LAKE
SIV,38.66900,-120.12100,SILVER LAKE RESERVOIR
SJT,99.99900,-999.99900,UPPER SAN JOAQUIN TOTAL
SKN,33.58300,-117.12200,SKINNER
SLB,38.77250,-120.69940,SLAB CREEK
SLC,39.58400,-121.11600,SLY CREEK
SLF,37.00100,-121.00200,SAN LUIS RESERVOIR (FEDERAL)
SLJ,38.15300,-122.78200,SOULAJULE DAM
SLK,37.17590,-118.56266,SOUTH LAKE
SLN,35.33300,-120.50200,SANTA MARGARITA LAKE
SLS,38.49700,-120.21600,SALT SPRINGS
SLW,34.30400,-117.31800,LAKE SILVERWOOD
SNL,37.03300,-121.13300,SAN LUIS RESERVOIR
SNN,37.57800,-122.41200,SAN ANDREAS
SOL,38.50000,-122.00000,LAKE SOLANO
SPB,37.95800,-122.33300,SAN PABLO
SPC,40.62900,-122.47400,SPRING CREEK DEBRIS DAM
SPG,39.32900,-120.64100,SPAULDING LAKE
SPM,38.39300,-119.99800,SPICER MEADOWS
STD,33.11800,-116.78700,SUTHERLAND RESERVOIR
STG,39.58300,-122.53300,STONY GORGE RESERVOIR
STP,39.47100,-120.10300,STAMPEDE
SVO,34.11780,-117.09780,SEVEN OAKS DAM
SVT,32.91200,-116.92400,SAN VICENTE
SW3,32.69200,-117.00700,SWEETWATER RESERVOIR
SWB,38.20000,-119.98300,STRAWBERRY
TAB,39.45000,-121.63300,THERMALITO AFTERBAY
TAE,37.37000,-118.98700,THOMAS A EDISON
TAH,39.18100,-120.11800,LAKE TAHOE
TFR,39.51900,-121.62900,THERMALITO FOREBAY
THD,39.52800,-121.54300,THERMALITO DIVERS POOL
TLC,37.60000,-120.58300,TURLOCK LAKE
TMT,39.45800,-121.63800,THERMALITO  TOTAL
TNM,37.05800,-118.22500,TINEMAHA RESERVOIR
TRM,36.41500,-119.00200,TERMINUS DAM
TUL,37.87500,-120.60300,TULLOCH
TWT,34.98300,-120.31700,TWITCHELL
UNV,38.86400,-120.43800,UNION VALLEY
USL,37.77800,-122.12200,U SAN LEANDRO
VAR,39.38390,-123.10250,VAN ARSDALE RESERVOIR 24HR AVG
VIL,33.49600,-116.97600,VAIL LAKE
VLP,33.81500,-117.83200,VILLA PARK
WHI,40.59800,-122.53700,WHISKEYTOWN DAM (USBR)
WHR,35.45000,-120.88300,WHALE ROCK
WRS,38.72300,-123.01000,WARM SPRINGS (USACE)
WSN,37.00500,-118.96900,WISHON
