ID,Latitude,Longitude,Station Name
CHS,40.28300,-121.23300,CHESTER
CHT,36.90023,-121.59772,PAJARO RIVER AT CHITTENDEN
CKC,34.18600,-117.18100,CITY CREEK RANGER STATION
CLO,39.82611,-123.08319,COVELO
CLR,40.63900,-122.66700,CLEAR CREEK
CLV,38.87935,-123.05361,RUSSIAN RIVER AT CLOVERDALE
CRL,36.77773,-118.42661,CHARLOTTE LAKE
CRR,37.29100,-119.52600,CRANE VALLEY RESERVOIR (PG&E)
CSH,40.00190,-120.91600,CASHMAN
CSU,38.55500,-121.41600,CALIFORNIA STATE UNIV AT SACRAMENTO
CTN,40.31700,-122.88100,COTTONWOOD CREEK NEAR BEEGUM
CVS,38.19800,-120.36700,CALAVERAS RANGER STATION
CVT,38.28300,-120.31700,CALAVERAS BIG TREES
CWD,36.48383,-118.17755,COTTONWOOD LAKES
DAV,39.88300,-120.46700,LAKE DAVIS (DWR)
DBF,37.73200,-121.92700,DUBLIN-SAN RAMON FIRE HOUSE
DCC,37.65400,-120.31200,DRY CREEK NEAR COULTERVILLE
DDM,38.33160,-119.65411,DEADMAN CREEK
DDW,40.70000,-122.10000,DIDDY WELLS
DEC,34.16900,-117.50200,DEER CREEK DAM
DES,39.87200,-121.61000,DE SABLA (DWR)
DEV,34.22111,-117.40444,DEVORE
DNV,39.55860,-120.82920,DOWNIEVILLE
DOY,40.11920,-120.48300,DOYLE CROSSING
DPH,39.26400,-120.76700,DRUM POWER HOUSE
DRC,39.30000,-120.82500,DEER CK FOREBAY (PG&E)
DRF,41.88300,-124.13300,SMITH RIVER AT DR FINE BRIDGE
DSC,32.85700,-116.62200,DESCANSO
DTV,36.46700,-116.86700,DEATH VALLEY
DUC,37.74100,-120.13300,DUDLEY RANCH BELOW COULTERVILLE
DVB,37.82080,-121.99560,DANVILLE LIBRARY
DVR,40.35000,-122.45000,DAVIS RANCH
DYC,34.16800,-117.53700,DAY CANYON
EGL,35.98300,-118.64100,EAGLE CREEK
EGN,38.48500,-121.26000,COSUMNES RIVER AT EAGLES NEST ROAD
ELG,38.42100,-121.37400,ELK GROVE FISH HATCHERY
ELK,41.98800,-123.71800,ELK VALLEY
ERK,40.80000,-124.16700,EUREKA WOODLEY ISLAND
ERY,37.93497,-119.23220,ELLERY LAKE
FBS,39.51700,-121.26610,FORBESTOWN
FCH,36.88390,-119.46580,FANCHER CREEK
FDL,38.53300,-120.70000,FIDDLETOWN
FEN,36.96100,-119.17500,FENCE MEADOW
FLD,38.69305,-121.12972,FOLSOM DAM - FOLSOM POINT (DYKE 8)
FOR,39.81237,-121.32254,FOUR TREES
FRD,39.88300,-120.18300,FRENCHMAN DAM
FRN,38.80500,-120.21300,FORNI RIDGE
FRO,36.76700,-119.71700,FRESNO WB AIRPORT
FRT,36.99500,-119.69200,FRIANT DAM
FSW,40.21820,-123.63253,EEL RIVER AT FORT SEWARD
GAS,41.85000,-123.96700,GASQUET RANGER STATION
GIB,41.02250,-122.39920,GIBSON
GIN,37.76700,-119.77300,GIN FLAT
GKS,39.07500,-120.55800,GREEK STORE
GLH,34.20900,-117.40500,GLEN HELEN REGIONAL PARK
GLR,38.04500,-120.98700,GILMORE RANCH
GNF,36.56200,-118.76500,GIANT FOREST (USACE)
GNL,38.20431,-119.89319,GIANELLI MEADOW
GOL,39.67478,-120.61718,GOLD LAKE
GRD,41.13300,-122.28300,GIRARD
GRE,40.13940,-120.94120,GREENVILLE
GRM,37.55500,-119.23800,GREEN MOUNTAIN
GRV,37.46500,-119.29000,GRAVEYARD MEADOW
GRZ,39.91700,-120.64500,GRIZZLY RIDGE
GTM,37.27000,-119.54300,GOAT MOUNTAIN
GTW,38.92500,-120.78900,GEORGETOWN (USBR)
HCK,36.37100,-118.65100,HOCKETT MEADOW (USACE)
HDL,40.68300,-122.75000,HOADLEY
HDZ,36.38300,-120.85400,HERNANDEZ
HHM,38.48731,-119.80575,HIGHLAND MEADOW
HIG,41.09300,-122.48300,HIGHLAND LAKES
HLC,40.86700,-121.88300,HILLCREST
HLD,37.81450,-121.80840,HIGHLAND PEAK
HLH,39.07170,-120.42170,HELL HOLE (USFS)
HMB,40.11500,-121.36800,HUMBUG
HNT,37.22800,-119.22100,HUNTINGTON LAKE (USBR)
HNY,40.23000,-124.14800,HONEYDEW
HPA,41.04985,-123.67367,TRINITY RIVER AT HOOPA
HRZ,40.90000,-122.25000,HIRZ
HSS,36.18100,-118.61900,HOSSACK
HTC,40.93300,-121.55000,HAT CREEK #1 PH (PG&E)
HTG,36.38800,-121.55100,HASTINGS
HTH,37.95000,-119.78300,HETCH HETCHY
HYS,39.28200,-120.52700,HUYSINK
INP,39.45200,-120.29000,INDEPENDENCE LAKE NEAR TRUCKEE
JAR,39.73600,-121.48900,JARBO GAP
JDP,40.03600,-120.28890,JORDAN PEAK
JUL,33.07600,-116.59100,JULIAN
KP3,35.77590,-118.43606,KERN PH 3
KPH,35.43300,-118.78300,KERN CANYON PH (PG&E)
KSP,37.30000,-119.10000,KAISER POINT
KTL,40.14000,-120.71500,KETTLE ROCK
KTT,36.03300,-120.05700,KETTLEMAN HILLS
LAP,39.68100,-120.98300,LA PORTE (DWR)
LEG,39.87460,-123.72058,SOUTH FORK EEL RIVER AT LEGGETT
LKS,40.86700,-122.38300,LAKESHORE
LON,38.98300,-120.32300,LOON LAKE (SMUD)
LSP,39.31700,-120.63300,LAKE SPAULDING (PG&E)
LVO,34.13400,-117.74400,LIVE OAK CANYON - LIVE OAK DAM
LYC,34.23400,-117.48000,LYTLE CREEK
MAP,36.03900,-120.48300,MAPEL RANCH
MBB,37.59890,-119.97810,MERCED RIVER NEAR BRICEBURG
MBR,37.08200,-118.86300,MEADOWBROOK (PG&E)
MCL,41.13000,-122.07100,MCCLOUD DAM (PG&E)
MDZ,38.06200,-120.92400,MENDEZ RANCH
MED,41.58690,-121.61310,MEDICINE LAKE
MHP,37.61000,-119.03300,MAMMOTH PASS (USBR)
MIN,40.34800,-121.60900,MINERAL
MNH,36.24200,-118.71000,MOUNTAIN HOME
MOC,34.09400,-117.68200,MONTCLAIR
MPG,37.50000,-119.60000,MARIPOSA GROVE
MRD,40.18181,-123.77615,EEL RIVER SF NR MIRANDA (AT SYLVANDALE)
MRN,34.31700,-117.50200,MORMON ROCK
MSM,41.31700,-122.31700,MOUNT SHASTA CITY (DWR-2)
MTF,37.05400,-119.37100,MOUNTAIN REST
MTS,41.31300,-122.31600,MOUNT SHASTA
MTY,36.59056,-121.84750,MONTEREY AIRPORT
MUD,40.71700,-123.28300,MUD SPRINGS
MUM,41.19700,-122.52300,MUMBO BASIN
MVD,41.01500,-121.15500,MUCK VALLEY DIVERSION (PG&E)
NFR,37.23300,-119.50000,NORTH FORK R S
NLS,39.53800,-122.66700,NOEL SPRING
NMS,37.94800,-120.52500,NEW MELONES
NTP,37.34200,-119.36000,NATURE POINT
OGO,40.42300,-122.73700,OGO RANGER STATION
OKG,33.39300,-116.79500,OAK GROVE
OLS,41.30346,-123.53450,KLAMATH RIVER AT ORLEANS
ORK,41.29929,-124.05119,REDWOOD CREEK AT ORICK
ORO,39.54000,-121.49300,OROVILLE DAM
OSO,37.78810,-122.14360,OAKLAND SOUTH
PAS,35.62858,-120.68433,SALINAS RIVER AT PASO ROBLES
PCK,37.25000,-119.45800,PECKINPAH
PCR,38.20000,-119.98300,PINECREST (PG&E)
PDD,34.09200,-117.80700,WALNUT CREEK AT PUDDINGSTONE DAM
PDE,39.75360,-121.62470,PARADISE
PET,41.30230,-122.52770,PETERSON FLAT
PFH,38.76000,-120.50000,PACIFIC HOUSE
PFW,36.82360,-119.33690,PINE FLAT WEATHER
PIU,34.40400,-118.81000,PIRU
PKC,39.47500,-121.20200,PIKE COUNTY
PKF,35.89900,-120.43200,PARKFIELD
PLM,33.82222,-116.50361,PALM SPRINGS AIRPORT
PLP,39.78589,-120.87778,PILOT PEAK (DWR)
PR1,41.00000,-121.49800,PIT #1 PH (PG&E)
PR3,40.99800,-121.74700,PIT #3 PH (PG&E)
PR5,40.98700,-121.97800,PIT #5 PH (PG&E)
PSB,35.67305,-120.62611,PASO ROBLES AIRPORT
PSC,35.96700,-118.35000,PASCOES
PSR,37.40300,-119.52000,POISON RIDGE
PUD,34.12100,-117.78200,SAN DIMAS CK AT PUDDINGSTON DIVERSN
PVL,40.20900,-121.15700,PRATTVILLE (PG&E)
QCY,39.93500,-120.95000,QUINCY (DWR)
QUA,36.11754,-118.53994,QUAKING ASPEN
RBR,38.13700,-121.03100,ROBIDART RANCH
RDD,40.50000,-122.30000,REDDING AIRPORT
RDH,39.30400,-121.11700,READER RANCH
RFS,40.57360,-122.41930,REDDING FIRE STATION
RGC,36.10800,-118.63700,ROGERS CAMP
RNC,38.60400,-121.31100,RANCHO CORDOVA
ROV,34.53600,-119.18400,ROSE VALLEY
RRG,37.99032,-121.78565,RODDY RANCH GOLF CLUB
RTH,40.31900,-123.37200,RUTH LAKE
RTL,40.12500,-121.04300,RATTLESNAKE
RVE,33.95195,-117.44417,RIVERSIDE AIRPORT
SAD,40.16700,-122.80000,SADDLE CAMP
SAE,38.50694,-121.49500,SACRAMENTO EXECUTIVE AIRPORT
SAF,34.12610,-117.94640,SANTA FE
SBY,39.56400,-121.10600,STRAWBERRY VALLEY
SCT,41.27200,-122.71800,SCOTT MOUNTAIN
SCY,34.10400,-117.26800,SAN BERNARDINO COUNTY YARD
SDF,41.35040,-122.24640,SAND FLAT
SDG,32.73300,-117.16700,SAN DIEGO NWS-LINDBERGH FIELD
SFB,38.17200,-120.10300,SPRING GAP FOREBAY (PG&E)
SFN,37.77056,-122.42694,SAN FRANCISCO
SFS,37.99900,-121.31900,STOCKTON FIRE STATION
SGP,39.12800,-120.75000,SUGAR PINE
SGV,36.16310,-118.70720,SPRINGVILLE TULE POWERPLANT
SH4,38.49306,-122.53972,ST. HELENA 4WSW
SHA,40.71800,-122.42000,SHASTA DAM  (USBR)
SHI,40.49600,-121.85000,SHINGLETOWN
SHS,40.71700,-122.41700,SHASTA DAM (USBR)
SIL,38.67800,-120.11800,SILVER LAKE
SJE,37.36200,-121.92700,SAN JOSE (ALERT)
SLH,38.89834,-119.99472,SOUTH LAKE TAHOE AIRPORT
SLM,38.50550,-119.93730,STANISLAUS MEADOW
SLP,38.71800,-120.56300,SLY PARK
SLT,41.04500,-122.47800,SLATE CREEK
SMB,35.37400,-120.63700,SANTA MARGARITA BOOSTER
SMF,38.68600,-121.58700,SACRAMENTO METRO AIRPORT
SMI,36.08300,-120.60800,SMITH MOUNTAIN
SMV,34.29120,-118.79760,SIMI VALLEY
SND,34.15300,-117.77100,SAN DIMAS DAM
SNM,40.77800,-121.78200,SNOW MOUNTAIN
SNO,38.50389,-122.81028,SONOMA COUNTY AIRPORT (SANTA ROSA)
SNR,37.99300,-120.98100,SANGUINETTI RANCH
SOC,37.89000,-121.22639,STOCKTON AIRPORT
SPA,36.26200,-120.52600,SPANISH LAKE
SPW,38.13300,-120.36700,STANISLAUS POWERHOUSE
SRC,39.56780,-120.65280,SIERRA CITY
SRI,36.34800,-120.59800,SANTA RITA
SSR,38.49800,-120.21900,SALT SPRINGS PH (PG&E)
STA,38.47900,-122.71200,SANTA ROSA (CDF)
STM,41.17000,-121.93800,STOUTS MEADOW
SVL,39.58300,-120.36700,SIERRAVILLE (DWR)
TAL,33.47500,-117.48700,TALEGA
TAY,40.07930,-120.83570,"NELSON ST, TAYLORSVILLE"
TCP,38.45000,-120.48300,TIGER CREEK POWERHOUSE
TGS,40.82500,-122.66000,TRINITY GUARD STATION
THO,39.88784,-122.52856,THOMES CREEK AT PASKENTA
THP,34.13900,-117.70900,THOMPSON CREEK DAM
TLH,38.03000,-120.35300,TELEGRAPH HILL
TMP,38.11700,-122.85000,TOMASINI POINT
TMR,37.16500,-119.20000,TAMARACK SUMMIT
TOK,34.21000,-118.87000,THOUSAND OAKS RAWS
TRI,36.90000,-119.20000,TRIMMER
TUM,37.87300,-119.35000,TUOLUMNE MEADOWS
TVL,39.97900,-120.47890,THOMPSON VALLEY
TYR,40.91700,-122.81700,TAYLOR RIDGE
USC,34.02167,-118.29139,LOS ANGELES / USC
VEN,38.61700,-123.01700,VENADO
WHI,40.59800,-122.53700,WHISKEYTOWN DAM (USBR)
WHW,37.85950,-119.65160,WHITE WOLF
WIL,39.35060,-123.32170,WILLITS HOWARD RS
WLN,34.07400,-117.87400,WALNUT CREEK SB
WSD,37.00300,-118.98600,WISHON DAM (PG&E)
WSP,38.80583,-122.70833,WHISPERING PINES
WST,37.44940,-119.64970,WESTFALL
WWD,40.30700,-120.90000,WESTWOOD
YOR,38.90530,-123.23140,YORKVILLE
YOW,37.50800,-119.63200,YOSEMITE NEAR WAWONA
YSV,37.74000,-119.58300,YOSEMITE HEADQUARTERS
YUC,34.12300,-116.40800,YUCCA VALLEY
YYV,37.74000,-119.58900,YOSEMITE AT YOSEMITE VALLEY
ZEN,40.20800,-123.46000,ZENIA
ZPC,36.01600,-120.29300,ZAPATO CHINO
