,PPT INCINCHES,STORAGEAF,OUTFLOWCFS,INFLOWCFS
2005-08-08,0.0,3201502.0,6167.0,2307.0
2005-08-09,0.0,3191508.0,7883.0,3048.0
2005-08-10,0.0,3184614.0,6977.0,3621.0
2005-08-11,0.0,3173341.0,7091.0,1630.0
2005-08-12,0.0,3164431.0,7589.0,3319.0
2005-08-13,0.0,3161367.0,4792.0,3528.0
2005-08-14,0.0,3163702.0,4338.0,3009.0
2005-08-15,0.0,3152473.0,7703.0,1972.0
2005-08-16,0.0,3140274.0,8602.0,2748.0
2005-08-17,0.0,3130271.0,7727.0,2926.0
2005-08-18,0.0,3117835.0,7367.0,2517.0
2005-08-19,0.0,3109036.0,7473.0,3189.0
2005-08-20,0.0,3102268.0,6256.0,3054.0
2005-08-21,0.0,3109180.0,1668.0,3819.0
2005-08-22,0.0,3103419.0,5109.0,2428.0
2005-08-23,0.0,3094792.0,7927.0,3787.0
2005-08-24,0.0,3086900.0,5754.0,2033.0
2005-08-25,0.0,3077732.0,7428.0,2933.0
2005-08-26,0.0,3072013.0,6642.0,3972.0
2005-08-27,0.0,3063020.0,6230.0,1980.0
2005-08-28,0.0,3057747.0,2576.0,2766.0
2005-08-29,0.0,3051202.0,6990.0,3041.0
2005-08-30,0.0,3040549.0,7167.0,3211.0
2005-08-31,0.0,3032324.0,7140.0,2720.0
2005-09-01,0.0,3023843.0,6981.0,2997.0
2005-09-02,0.0,3019747.0,5446.0,3682.0
2005-09-03,0.0,3017771.0,3667.0,2863.0
2005-09-04,0.0,3015796.0,3554.0,2659.0
2005-09-05,0.0,3011427.0,4700.0,2640.0
2005-09-06,0.0,3001716.0,6532.0,1809.0
2005-09-07,0.0,2996939.0,4977.0,2793.0
2005-09-08,0.0,2996518.0,2985.0,2840.0
2005-09-09,0.0,2996939.0,2553.0,2880.0
2005-09-10,0.0,3001153.0,1536.0,3776.0
2005-09-11,0.0,3001576.0,2114.0,2517.0
2005-09-12,0.0,2995536.0,6055.0,3134.0
2005-09-13,0.0,2987822.0,5599.0,1763.0
2005-09-14,0.0,2977327.0,7147.0,1970.0
2005-09-15,0.0,2970066.0,6427.0,2724.0
2005-09-16,0.0,2960450.0,7423.0,2881.0
2005-09-17,0.0,2959196.0,2739.0,2141.0
2005-09-18,0.0,2958084.0,2991.0,2539.0
2005-09-19,0.0,2949050.0,6457.0,2100.0
2005-09-20,0.0,2941560.0,6444.0,2702.0
2005-09-21,0.0,2934360.0,6444.0,3178.0
2005-09-22,0.0,2927588.0,6616.0,3272.0
2005-09-23,0.0,2918207.0,6427.0,1769.0
2005-09-24,0.0,2919034.0,2095.0,2643.0
2005-09-25,0.0,2918207.0,2960.0,2758.0
2005-09-26,0.04,2912974.0,5522.0,2691.0
2005-09-27,0.0,2905548.0,6263.0,3010.0
2005-09-28,0.0,2893066.0,7954.0,2611.0
2005-09-29,0.0,2885950.0,6560.0,3158.0
2005-09-30,0.0,2877345.0,6924.0,1990.0
2005-10-01,0.0,2871891.0,4990.0,3016.0
2005-10-02,0.0,2874890.0,939.0,1862.0
2005-10-03,0.24,2863996.0,7163.0,1808.0
2005-10-04,0.0,2854080.0,6522.0,1615.0
2005-10-05,0.0,2846084.0,6185.0,2325.0
2005-10-06,0.0,2839590.0,5443.0,3026.0
2005-10-07,0.0,2830544.0,6648.0,1687.0
2005-10-08,0.0,2828386.0,2692.0,1603.0
2005-10-09,0.0,2832567.0,816.0,2980.0
2005-10-10,0.0,2828386.0,4200.0,2248.0
2005-10-11,0.0,2822728.0,4180.0,1530.0
2005-10-12,0.0,2819499.0,4291.0,2911.0
2005-10-13,0.0,2813048.0,5560.0,2255.0
2005-10-14,0.0,2803659.0,6094.0,1607.0
2005-10-15,0.24,2803525.0,2367.0,2410.0
2005-10-16,0.0,2808082.0,616.0,2924.0
2005-10-17,0.0,2800712.0,5907.0,2264.0
2005-10-18,0.0,2792020.0,5221.0,1021.0
2005-10-19,0.0,2788549.0,4033.0,2355.0
2005-10-20,0.0,2783080.0,5019.0,2243.0
2005-10-21,0.0,2779484.0,4056.0,2373.0
2005-10-22,0.0,2778817.0,3262.0,3017.0
2005-10-23,0.0,2782547.0,155.0,2122.0
2005-10-24,0.0,2777486.0,4252.0,1758.0
2005-10-25,0.0,2769376.0,4561.0,543.0
2005-10-26,0.44,2760884.0,6056.0,1837.0
2005-10-27,0.0,2753337.0,5561.0,1779.0
2005-10-28,0.92,2748578.0,5484.0,3244.0
2005-10-29,0.08,2748974.0,1662.0,1747.0
2005-10-30,0.0,2750296.0,1098.0,1779.0
2005-10-31,0.0,2740130.0,5896.0,825.0
2005-11-01,0.0,2729598.0,6519.0,1322.0
2005-11-02,0.04,2721848.0,5402.0,1377.0
2005-11-03,0.16,2716340.0,5571.0,2905.0
2005-11-04,0.04,2707310.0,7342.0,2855.0
2005-11-05,0.0,2703520.0,4018.0,2071.0
2005-11-06,0.04,2702606.0,2326.0,1702.0
2005-11-07,1.32,2695301.0,5888.0,2589.0
2005-11-08,0.64,2703520.0,3395.0,7514.0
2005-11-09,0.0,2698952.0,5055.0,2790.0
2005-11-10,0.0,2695171.0,4110.0,2257.0
2005-11-11,0.0,2688530.0,4659.0,1466.0
2005-11-12,0.0,2683980.0,4506.0,2760.0
2005-11-13,0.0,2682550.0,2726.0,1338.0
2005-11-14,0.0,2676048.0,5302.0,1937.0
2005-11-15,0.0,2672288.0,4539.0,2861.0
2005-11-16,0.0,2666588.0,3960.0,1692.0
2005-11-17,0.0,2665552.0,3291.0,2365.0
2005-11-18,0.0,2659476.0,5008.0,1985.0
2005-11-19,0.0,2657022.0,3237.0,1988.0
2005-11-20,0.0,2660639.0,721.0,2629.0
2005-11-21,0.0,2652892.0,5086.0,1187.0
2005-11-22,0.0,2641688.0,7659.0,2057.0
2005-11-23,0.0,2633595.0,6274.0,2585.0
2005-11-24,0.0,2630901.0,2338.0,1615.0
2005-11-25,0.52,2631286.0,1806.0,1253.0
2005-11-26,0.0,2631158.0,2181.0,1992.0
2005-11-27,0.0,2632184.0,1308.0,1863.0
2005-11-28,0.4,2624623.0,5569.0,1341.0
2005-11-29,0.52,2620785.0,4912.0,3503.0
2005-11-30,0.52,2615800.0,5014.0,2456.0
2005-12-01,0.88,2648896.0,5613.0,22567.0
2005-12-02,0.0,2673843.0,4270.0,16667.0
2005-12-03,0.0,2681122.0,2752.0,6495.0
2005-12-04,0.0,2686969.0,1382.0,4296.0
2005-12-05,0.0,2688140.0,3119.0,3802.0
2005-12-06,0.0,2689832.0,2794.0,3599.0
2005-12-07,0.0,2684110.0,6111.0,3245.0
2005-12-08,0.0,2679304.0,5525.0,3037.0
2005-12-09,0.0,2679824.0,2853.0,3216.0
2005-12-10,0.0,2680083.0,2514.0,2607.0
2005-12-11,0.0,2680472.0,2506.0,2730.0
2005-12-12,0.0,2678136.0,3901.0,2985.0
2005-12-13,0.0,2675530.0,4804.0,3316.0
2005-12-14,0.0,2674492.0,3495.0,2923.0
2005-12-15,0.0,2671640.0,4291.0,2933.0
2005-12-16,0.0,2665165.0,5462.0,2349.0
2005-12-17,0.08,2661414.0,4270.0,2266.0
2005-12-18,2.2,2677098.0,3.0,8147.0
2005-12-19,0.4,2704304.0,4521.0,18141.0
2005-12-20,0.32,2717520.0,4762.0,11519.0
2005-12-21,0.88,2741713.0,5476.0,17076.0
2005-12-22,1.12,2831353.0,6364.0,52362.0
2005-12-23,0.0,2854894.0,18230.0,29846.0
2005-12-24,0.0,2830409.0,28572.0,16173.0
2005-12-25,1.28,2798838.0,40589.0,24624.0
2005-12-26,0.4,2789616.0,31513.0,26998.0
2005-12-27,0.92,2762342.0,32908.0,19136.0
2005-12-28,1.2,2813316.0,32279.0,57998.0
2005-12-29,0.12,2806742.0,37909.0,34603.0
2005-12-30,1.28,2794826.0,51558.0,46563.0
2005-12-31,2.16,2924550.0,63403.0,127863.0
2006-01-01,0.96,2901704.0,78661.0,66973.0
2006-01-02,0.08,2849064.0,75257.0,48592.0
2006-01-03,0.16,2782680.0,66496.0,33032.0
2006-01-04,0.0,2752147.0,41989.0,26735.0
2006-01-05,0.0,2741186.0,26331.0,20950.0
2006-01-06,0.0,2738681.0,18839.0,17456.0
2006-01-07,0.28,2738945.0,15827.0,16035.0
2006-01-08,0.0,2739340.0,14837.0,15256.0
2006-01-09,0.0,2739472.0,13080.0,13433.0
2006-01-10,0.04,2736836.0,14200.0,12422.0
2006-01-11,0.16,2735782.0,14259.0,13728.0
2006-01-12,0.0,2734202.0,12592.0,11601.0
2006-01-13,0.0,2732228.0,13035.0,12180.0
2006-01-14,1.2,2738549.0,11344.0,14663.0
2006-01-15,0.0,2749502.0,7044.0,12845.0
2006-01-16,0.0,2751221.0,10562.0,11057.0
2006-01-17,0.52,2750560.0,11675.0,11620.0
2006-01-18,0.04,2755586.0,11065.0,13400.0
2006-01-19,0.0,2761281.0,9585.0,12390.0
2006-01-20,0.08,2764596.0,8601.0,10899.0
2006-01-21,0.0,2767516.0,9714.0,10668.0
2006-01-22,0.0,2769907.0,8343.0,9498.0
2006-01-23,0.0,2772963.0,7844.0,9547.0
2006-01-24,0.0,2775224.0,7859.0,9087.0
2006-01-25,0.08,2776688.0,8313.0,9071.0
2006-01-26,0.08,2775224.0,9772.0,9055.0
2006-01-27,0.04,2772831.0,9106.0,7987.0
2006-01-28,0.28,2777220.0,8537.0,10758.0
2006-01-29,0.0,2785347.0,5872.0,10040.0
2006-01-30,0.4,2789750.0,9956.0,12045.0
2006-01-31,0.0,2790017.0,11576.0,11912.0
2006-02-01,0.6,2790684.0,13105.0,13389.0
2006-02-02,0.08,2801114.0,13693.0,18884.0
2006-02-03,0.0,2806339.0,13453.0,15363.0
2006-02-04,0.24,2812108.0,13733.0,17404.0
2006-02-05,0.0,2815600.0,13823.0,15598.0
2006-02-06,0.0,2815600.0,13982.0,14009.0
2006-02-07,0.0,2817886.0,11567.0,12687.0
2006-02-08,0.0,2818423.0,11557.0,11934.0
2006-02-09,0.0,2819365.0,10813.0,11322.0
2006-02-10,0.0,2817886.0,11422.0,10711.0
2006-02-11,0.0,2817079.0,9713.0,9349.0
2006-02-12,0.0,2820306.0,6694.0,8371.0
2006-02-13,0.0,2822459.0,7098.0,8230.0
2006-02-14,0.0,2830948.0,3407.0,7741.0
2006-02-15,0.0,2836888.0,3576.0,6689.0
2006-02-16,0.0,2837834.0,6725.0,7252.0
2006-02-17,0.04,2846761.0,3874.0,8338.0
2006-02-18,0.04,2856116.0,2474.0,7191.0
2006-02-19,0.0,2864132.0,2042.0,6114.0
2006-02-20,0.0,2869711.0,4695.0,7625.0
2006-02-21,0.0,2876663.0,3073.0,6476.0
2006-02-22,0.0,2883626.0,2773.0,6410.0
2006-02-23,0.0,2892244.0,2078.0,6408.0
2006-02-24,0.0,2897314.0,3862.0,6541.0
2006-02-25,0.0,2900194.0,3497.0,5134.0
2006-02-26,0.56,2907609.0,3536.0,7313.0
2006-02-27,2.64,2951134.0,6723.0,29076.0
2006-02-28,0.08,3007906.0,25033.0,53196.0
2006-03-01,0.08,2991888.0,40820.0,33386.0
2006-03-02,0.32,2965324.0,41084.0,27091.0
2006-03-03,0.64,2931180.0,38876.0,21762.0
2006-03-04,0.0,2901155.0,33905.0,18724.0
2006-03-05,1.32,2876117.0,31594.0,19008.0
2006-03-06,1.32,2864404.0,31063.0,25176.0
2006-03-07,0.28,2846355.0,31306.0,22210.0
2006-03-08,0.0,2827308.0,28113.0,18581.0
2006-03-09,0.12,2813316.0,23257.0,16294.0
2006-03-10,0.12,2805669.0,18313.0,14569.0
2006-03-11,0.04,2801248.0,15148.0,12870.0
2006-03-12,0.2,2799374.0,13189.0,12270.0
2006-03-13,0.2,2797367.0,13220.0,12283.0
2006-03-14,0.68,2802052.0,11053.0,13507.0
2006-03-15,0.04,2803391.0,10057.0,10958.0
2006-03-16,0.56,2803659.0,11957.0,12035.0
2006-03-17,0.24,2811706.0,11632.0,15493.0
2006-03-18,0.0,2811706.0,12225.0,12172.0
2006-03-19,0.0,2819230.0,8470.0,12405.0
2006-03-20,0.48,2817751.0,11954.0,11689.0
2006-03-21,0.04,2810900.0,13850.0,9921.0
2006-03-22,0.0,2807680.0,12721.0,11187.0
2006-03-23,0.0,2802856.0,11883.0,9427.0
2006-03-24,1.08,2804999.0,11806.0,13194.0
2006-03-25,0.92,2845814.0,13595.0,34124.0
2006-03-26,0.0,2861956.0,18030.0,26138.0
2006-03-27,0.56,2871618.0,16390.0,21252.0
2006-03-28,0.28,2886360.0,17173.0,24645.0
2006-03-29,0.04,2894024.0,18026.0,21974.0
2006-03-30,0.08,2896080.0,17928.0,18906.0
2006-03-31,0.92,2898959.0,17916.0,19525.0
2006-04-01,0.0,2898274.0,17791.0,17318.0
